Card #,Name,Description,Location(s),Rarity,Sell Price
32,Boomerang Bro,"Max HP: 10, Attack: 3, Defense: 1. This elite Koopa goes bananas for boomerangs. Unfortunately, they hurt when you try to eat them.",Card Shop; Catch Card/SP,★★,28
33,Dark Boomerang Bro,"Max HP: 20, Attack: 6, Defense: 3. This Dark Boomerang Bro dwells in a certain secret pit. Is it all that smart to throw boomerangs in the dark?",Card Shop; Catch Card/SP,★,12
34,Fire Bro,"Max HP: 10, Attack: 3, Defense: 1. This elite Koopa has an unhealthy fireball fixation. However, it's a big hit at Koopa cookouts.",Card Shop; Catch Card/SP,★★,28
35,Dark Fire Bro,"Max HP: 20, Attack: 6, Defense: 3. This Dark Fire Bro dwells in a certain secret pit. Are pitch-black fireballs even hot?",Card Shop; Catch Card/SP,★,12
36,Magikoopa,"Max HP: 6, Attack: 3. This elite Koopa is an expert hexologist. It also has questionable taste in eyewear.","Card Shop; Catch Card/SP; Chapter 3-1: Found in 3D in the secret area via the furthest pipe on the right of the ""Warp Zone"" pipe trio in the underground area.",★★,24
37,Dark Magikoopa,"Max HP: 20, Attack: 6. Dark Magikoopas dwell in a certain secret pit. Too bad you can't see its face... It's wearing contacts!",Card Shop; Catch Card/SP,★,2
38,Koopa Striker,"Max HP: 8, Attack: 2, Defense: 1. This Koopa Striker kicks for the love of the game. Its luxurious eyebrows are... Wait a sec... GOOOAAAALLLL!",Card Shop; Catch Card/SP,★,2
39,Toopa Striker,"Max HP: 8, Attack: 2, Defense: 1. Toopa Strikers are true team players. Watch out for the no-look shell-to-face assists!",Card Shop; Catch Card/SP,★★,32
40,Soopa Striker,"Max HP: 16, Attack: 5, Defense: 1. It's the star player of the Koopa Kickers. It's even on the cover of Koopa Kleats magazine!",Card Shop; Catch Card/SP,★,6
41,Dark Striker,"Max HP: 20, Attack: 6, Defense: 3. Dark Strikers play in a certain secret pit. One red card too many, and they went to the dark side!",Card Shop; Catch Card/SP,★,2
42,Clubba,"Max HP: 20, Attack: 3. This soldier would rather nap than face the front lines. Hauling that club around would make anyone tired.",Card Shop; Catch Card/SP,★,5
43,Dark Clubba,"Max HP: 60, Attack: 6. This Dark Clubba stumbles around a certain secret pit. Dark Clubbas are still sleepy. Some things never change.",Card Shop; Catch Card/SP,★,3
44,Squiglet,"Max HP: 2, Attack: 1. Awww... look at that adorable little Squiglet. So adorable under your foot.",Card Shop; Catch Card/SP; Chapter 1-1: Found on top of Bestovius' house.,★,1
45,Squig,"Max HP: 4, Attack: 1. This nasty little guy needs to learn some manners. It spits rocks at people! Honestly, who does that?",Card Shop; Catch Card/SP; Chapter 1-3: Found after flipping to 3D behind a rock near the red palm tree.,★,7
46,Squog,"Max HP: 10, Attack: 2. For wild, feral animals, Squogs are pretty cute. That is, until you see them eating.",Card Shop; Catch Card/SP,★,2
47,Squoinker,"Max HP: 15, Attack: 4. Squoinkers are proud to be pretty in pink. The polka dots are for extra intimidation.",Card Shop; Catch Card/SP,★,6
48,Dark Squiglet,"Max HP: 20, Attack: 8. The Dark Squiglet dwells in a certain secret pit. Awwww, it spits oily black rocks! Adorable!",Card Shop; Catch Card/SP,★,6
49,Sproing-Oing,"Max HP: 4, Attack: 1. Sproing-Oings split into three when they get stomped. These little critters can throw off your timing, so watch it!",Card Shop; Catch Card/SP,★,2
50,Boing-Oing,"Max HP: 8, Attack: 2. This bouncing bully splits in three when you stomp on it. Stomp your heart out before you get swarmed!",Card Shop; Catch Card/SP,★,2
51,Zoing-Oing,"Max HP: 12, Attack: 3. This mad hopper splits in three when you stomp on it. It's looking a little on the pale side. Maybe it's all that late-night trampoline training.",Card Shop; Catch Card/SP,★,3
52,Dark Sproing-Oing,"Max HP: 16, Attack: 4. The Dark Sproing-Oing dwells in a certain secret pit. This one doesn't split and clone... Haha, actually it does.",Card Shop; Catch Card/SP,★,2
53,Boomboxer,"Max HP: 4, Attack: 2. This music maven will assault you with bowel-busting bass! What's with the face it makes when it rocks out?",Card Shop; Catch Card/SP; Chapter 1-2: Found on top of Watchitt's house.,★,3
54,Beepboxer,"Max HP: 10, Attack: 4. This angry audiophile deafens you with sound. Loves loud music, but hates explosions. Go figure.",Card Shop; Catch Card/SP,★,3
55,Blastboxer,"Max HP: 16, Attack: 6. You're going to be blown away by this mighty rocker. This one hates explosions, which is totally not metal.",Card Shop; Catch Card/SP,★,2
56,Dark Boomboxer,"Max HP: 32, Attack: 8. The Dark Boomboxer rocks out in a certain secret pit. It's sad not to see that crazy face it makes.",Card Shop; Catch Card/SP,★,6
57,Piranha Plant,"Max HP: 2, Attack: 1. This violent vine, lurks in pipes, waiting for a snack. You'd be surly too if you lived in a pipe.",Card Shop; Catch Card/SP; Chapter 3-1: Found on a platform after jumping along the coloured columns.,★,2
58,Putrid Piranha,"Max HP: 5, Attack: 2. It's a poisonous Piranha Plant. As they say, every rose has its venomous bite.",Card Shop; Catch Card/SP,★,2
59,Frost Piranha,"Max HP: 7, Attack: 3. Someone left this flower out in the winter cold. On the plus side, it can cool beverages in a hurry.",Card Shop; Catch Card/SP,★,6
60,Crazee Dayzee,"Max HP: 10, Attack: 2. Crazee Dayzees are cute, but they'll put you to sleep. But sleeping really isn't all that Crazee...",Card Shop; Catch Card/SP,★,2
61,Amazy Dayzee,"Max HP: 30, Attack: 10. This bashful bloom will run off if you get too close. What makes it so Amazy anyway? It seems like more of a wallflower.",Card Shop; Catch Card/SP; Prize in Flipside Arcade for 500 Flipside Tokens,★★★,300
62,Dark Dayzee,"Max HP: 99, Attack: 20. Dark Dayzees sprout in a certain secret pit. Even in the dark... This flower's got style!",Card Shop; Catch Card/SP,★★,60
63,Fuzzy,"Max HP: 5, Attack: 1. What dark and evil thoughts dwell in this beast's brain? And what's so fuzzy about it anyway? It doesn't look too cuddly.",Card Shop; Catch Card/SP,★,2
64,Pink Fuzzy,"Max HP: 10, Attack: 2. If you had to be a Fuzzy, pink wouldn't be a bad color. Still, no one's winning any cuteness contests here.",Card Shop; Catch Card/SP,★,6
65,Dark Fuzzy,"Max HP: 15, Attack: 4. This Dark Fuzzy squirms in a certain secret pit. This one must have come from a load of dark laundry.",Card Shop; Catch Card/SP,★,2
66,Pokey,"Max HP: 6, Attack: 2. This cactus column wanders in the desert wasteland. When it attacks, it hurls parts of itself at you. Literally. Which is kind of sad, really.",Card Shop; Catch Card/SP,★,2
67,Poison Pokey,"Max HP: 12, Attack: 2. With prickles and poison, this baddie is double trouble. All it needs is a big hug. Any volunteers?",Card Shop; Catch Card/SP,★,2
68,Dark Pokey,"Max HP: 20, Attack: 4. The Dark Pokey teeters in a certain secret pit. It looks so serious when it wears black!",Card Shop; Catch Card/SP,★,6
69,Cheep Cheep,"Max HP: 2, Attack: 1. These odd fish hurl themselves out of the water. For a fish, it's not the safest hobby.",Card Shop; Catch Card/SP,★,2
70,Blooper,"Max HP: 1, Attack: 2. Bloopers love to laugh at other Bloopers' bloopers. Nobody wants to end up on the Blooper reel.",Card Shop; Catch Card/SP,★,3
71,Bittacuda,"Max HP: 10, Attack: 2. This big fish could feed an army! ...Or eat an army.",Card Shop; Catch Card/SP,★,6
72,Jawbus,"Max HP: 5, Attack: 1. Count on a Jawbus to stick its neck out for you. Or at you.",Card Shop; Catch Card/SP,★,12
73,Rawbus,"Max HP: 10, Attack: 2. This nasty dino has always got to give you a jaw full. Flip to 3-D and check out its funny little limbs!","Card Shop; Catch Card/SP; Chapter 7-3: Found on the cloud with Rawbuses, which is next to cloud 25.",★★,48
74,Dark Jawbus,"Max HP: 30, Attack: 8. This Dark Jawbus dwells in a certain secret Pit. It was so nice to see its face. Now it's all shadow...",Card Shop; Catch Card/SP,★,18
75,Gawbus,"Max HP: 20, Attack: 4. This thing is always sticking its neck in your business. It'll flounder around when it's waiting to be picked up.",Card Shop; Catch Card/SP,★,18
76,Spania,"Max HP: 6, Attack: 1. This horned beast will charge right at you. Stay light on your feet or you'll be skewered!",Card Shop; Catch Card/SP; Chapter 5-3: Found in a small 3D-accessible area under the blocks leading to Monzo.,★,7
77,Dark Spania,"Max HP: 20, Attack: 2. This Dark Spania dwells in a certain secret pit. Think of it, just spinning around in the darkness...",Card Shop; Catch Card/SP,★,12
78,Cursya,"Max HP: 1, Attack: 1. This nasty critter will slow you down. It's just so easy to get lost in those dreamy eyes.",Card Shop; Catch Card/SP; Chapter 2-2: Found on the balcony above the front door of Merlee's Mansion.,★,2
79,Back Cursya,"Max HP: 1, Attack: 1. This pest will send you straight back to Flipside. Then again, it's one way to cut down on your commute.",Card Shop; Catch Card/SP; Map 18,★,12
80,Tech Cursya,"Max HP: 1, Attack: 1. This evil baddie can whip up a helping of instant amnesia. Just like that, and you can't flip between dimensions! You never know what you had until it's gone, right?",Card Shop; Catch Card/SP,★,2
81,Heavy Cursya,"Max HP: 1, Attack: 1. This thing will hit you like a ton of bricks. You'll barely be able to hop a few inches off the ground. Take it out from a distance.",Card Shop; Catch Card/SP,★,2
82,Reversya Cursya,"Max HP: 1, Attack: 1. Hit this thing and you'll lose all sense of direction. Don't be alarmed: everything will be backwards. But if you relax a little, you'll figure it out.",Card Shop; Catch Card/SP,★,2
83,Dark Cursya,"Max HP: 10, Attack: 2. Dark Cursyas live in a certain secret pit. Play the fun game and see which curse you'll get!",Card Shop; Catch Card/SP,★,3
84,Dark Tech Cursya,"Max HP: 10, Attack: 2. This Dark Tech Cursya lives in a certain secret pit. This is the last place I want to meet one of these guys...",Card Shop; Catch Card/SP,★,3
85,Dark Heavy Cursya,"Max HP: 10, Attack: 2. This Dark Heavy Cursya lives in a certain secret pit. Isn't it fun to guess which curse you'll get?",Card Shop; Catch Card/SP,★,3
86,Dark Reversya Cursya,"Max HP: 10, Attack: 2. This Dark Reversya Cursya lives in a certain secret pit. You never know what curse you'll get until you touch it!",Card Shop; Catch Card/SP,★,3
87,Swooper,"Max HP: 3, Attack: 1. Swoopers aren't so bad, they're just lonely. Strangely, they greet visitors by snacking on their heads. ...This could explain why they have no friends.",Card Shop; Catch Card/SP; Chapter 2-1: Found in an underground area under the Star Block via a 3D-accessible hole.,★,2
88,Cherbil,"Max HP: 5, Attack: 2. This odd floating beast strikes with sleeping gas. One whiff of that gas and it's sweet dreams...",Card Shop; Catch Card/SP,★,2
89,Ice Cherbil,"Max HP: 5, Attack: 2. This floating beast attacks with ferocious freezy gas. It loves blue raspberry snow cones...",Card Shop; Catch Card/SP,★,3
90,Poison Cherbil,"Max HP: 5, Attack: 2. This floating beast attacks with perilous poison gas. I hear it smells awful.",Card Shop; Catch Card/SP,★,6
91,Dark Cherbil,"Max HP: 15, Attack: 4. This odd gassy creature puffs itself up and explodes. They have sleepy, freezy, and poison gas, so watch out!",Card Shop; Catch Card/SP,★,15
92,Boo,"Max HP: 4, Attack: 1. These spooks only approach when your back is turned. They'd be awesome at ""Red light, green light""! ...Except they bite you if they win.",Card Shop; Catch Card/SP; Chapter 2-3: Found in a small 3D-accessible area above the door to Mimi's office.,★,2
93,Dark Boo,"Max HP: 13, Attack: 2. This ghastly ghost hates being stared at. Unlike other Boos, it will turn around in front of you.",Card Shop; Catch Card/SP; Chapter 7-2: Found on a top-right platform of the second area with the Dark Boos and Underhands.,★,2
94,Dark Dark Boo,"Max HP: 20, Attack: 4. This Dark Dark Boo dwells in a certain secret pit. Dark sheets make it extra not-so-scary!",Card Shop; Catch Card/SP,★,3
95,Atomic Boo,"Max HP: 10, Attack: 2. This gigantic Boo still hides when you look at it. Some say it's a gathering of many smaller Boos...",Card Shop; Catch Card/SP,★,12
96,Growmeba,"Max HP: 2, Attack: 1. Growmebas copy themselves over and over and over. Just stomp the real one to make them all disappear.",Card Shop; Catch Card/SP,★,2
97,Blomeba,"Max HP: 5, Attack: 2. This weird little guy can't stop copying itself. Try using an item to put them all out of their misery.",Card Shop; Catch Card/SP,★,2
98,Chromeba,"Max HP: 10, Attack: 3. This devious doppelganger loves to copy itself. Stomp them all before the problem multiplies!",Card Shop; Catch Card/SP,★,3
99,Dark Growmeba,"Max HP: 20, Attack: 4. This Dark Growmeba lurks in a certain secret pit. Which one's real?! Gah, it's very hard to tell.",Card Shop; Catch Card/SP,★,6
100,Mister I,"Max HP: ??, Attack: 2. It's an eye. A big, juicy, unblinking, ever-watching eye. ...Gross.",Card Shop; Catch Card/SP,★,12
101,Red I,"Max HP: ??, Attack: 4. This big, red eye looks a little irritated. It must not be getting much sleep these days.",Card Shop; Catch Card/SP,★,7
102,Chain Chomp,"Max HP: 4, Attack: 1, Defense: 4. Chain Chomps are more bark than bite. But that's not much comfort for the mailman...",Card Shop; Catch Card/SP,★,12
103,Red Chomp,"Max HP: 8, Attack: 3, Defense: 8. This bright red breed isn't very well behaved. That probably rules out winning best of show.",Card Shop; Catch Card/SP,★★,44
104,The Underchomp,"Max HP: 16, Attack: 3, Defense: 4. The three Dorguys command this special breed of Chomp. In off-hours they like to practice their comedy act.",Card Shop; Map 41,★★,64
105,Dark Chomp,"Max HP: 10, Attack: 4, Defense: 10. This Dark Chomp makes its home in a certain secret pit. Who's a good boy?! Who's a dark, evil boy! Yes you are!",Card Shop; Catch Card/SP,★,7
106,Bald Cleft,"Max HP: 2, Attack: 1, Defense: 2. This hardheaded minion is easily mistaken for a rock. It'll turn around if it bumps into a wall. If hit with an explosion, its Defense drops to 0.",Card Shop; Catch Card/SP,★,2
107,Moon Cleft,"Max HP: 5, Attack: 2, Defense: 4. It's an evil mineral that looks just like a rock. That is, until it's too late!",Card Shop; Catch Card/SP; Chapter 5-1: Found in a small 3D-accessible alcove below the canyon to the right of the first block puzzle.,★,3
108,Dark Cleft,"Max HP: 10, Attack: 4, Defense: 10. This Dark Cleft dwells in a certain secret pit. You'd have to really try to mistake it for a rock...",Card Shop; Catch Card/SP,★,2
109,Shlurp,"Max HP: ??, Attack: 2. This hungry beast really sucks...stuff up! Bombs give it a bad case of heartburn.",Card Shop; Catch Card/SP; Chapter 2-1: Found in an underground area under the Star Block via a 3D-accessible hole.,★,7
110,Shlorp,"Max HP: ??, Attack: 3. It's a vacuum! It's a worm! It's both! Don't feed it bombs, or you'll ruin its supper. Forever.",Card Shop; Catch Card/SP,★,2
111,Dark Shlurp,"Max HP: ??, Attack: 4. The Dark Shlurp dwells in a certain secret pit. Now with the cleaning power of darkness!",Card Shop; Catch Card/SP,★,12
112,Thwomp,This block-headed rocker really loves making pancakes. All that macho pounding must be a sign of insecurity.,Card Shop; Flimm; Catch Card/SP,★★,36
113,Spiny Tromp,"It's a massive, rolling pinwheel of doom. If it keeps rolling, maybe it'll aerate someone's lawn.",Card Shop; Flimm; Catch Card/SP,★★,40
114,Spiky Tromp,"This bowling boulder rolls around in search of prey. Don't get caught under the spikes, or you'll be tenderized.",Card Shop; Flimm; Catch Card/SP,★★,32
115,Bullet Bill,"Max HP: 1, Attack: 2. In our hearts, this monster is number one with a bullet. It does have a short fuse, though...",Card Shop; Catch Card/SP,★,3
116,Bill Blaster,"Max HP: 5, Attack: 2, Defense: 3. It's a big, burly cannon. Where do all those bullets come from?",Card Shop; Catch Card/SP,★,6
117,Ruff Puff,"Max HP: 15, Attack: 4. This little thundercloud is darkening a sky near you! Looks a little like cotton candy, but don't bite!",Card Shop; Catch Card/SP; Chapter 7-3: Found on the left of cloud 34.,★,3
118,Dark Ruff Puff,"Max HP: 30, Attack: 6. This Dark Ruff Puff floats in a certain secret pit. Dark thunder... Wow... That is so METAL!",Card Shop; Catch Card/SP,★,6
119,Lava Bubble,"Max HP: 1, Attack: 4. Lava Bubbles always have a bounce to their step. But watch out: they've got fiery tempers.",Card Shop; Catch Card/SP,★,6
120,Tileoid G,"Max HP: 5, Attack: 1. These sticky creatures crawl along walls. They're like living, antigravity tumbleweeds!",Card Shop; Catch Card/SP,★,2
121,Tileoid B,"Max HP: 10, Attack: 1. This sticky beast clings to any surface. Caution: it is not blue cotton candy.",Card Shop; Catch Card/SP,★,2
122,Tileoid R,"Max HP: 15, Attack: 2. This gluey, gloppy animal will stick to any surface. Gluey and gloppy...not the best traits.",Card Shop; Catch Card/SP,★,2
123,Tileoid Y,"Max HP: 10, Attack: 2. This tenaciously sticky beast slides along walls and ceilings. And it even doubles as an industrial adhesive!",Card Shop; Catch Card/SP,★,2
124,Dark Tileoid,"Max HP: 25, Attack: 4. This Dark Tileoid scuttles around a certain secret pit. Yikes... This shadowy one is really tough!",Card Shop; Catch Card/SP,★,2
125,Meowbomb,"Max HP: 1, Attack: 2, Defense: 1. These feline robo-bombs get shot out of SurpriseMeows. Strangely, they don't mind getting blown to meowbits.",Card Shop; Catch Card/SP,★,15
126,PatrolMeow,"Max HP: 5, Attack: 2, Defense: 1. This patrol puss is the hall monitor of Fort Francis. Ever vigilant...and flea resistant!",Card Shop; Catch Card/SP,★,15
127,AirMeow,"Max HP: 5, Attack: 2, Defense: 1. This AirMeow guards the skies over Fort Francis. It runs on a volatile mixture of catnip and cooking oil.",Card Shop; Catch Card/SP,★,15
128,SurpriseMeow,"Max HP: 1, Attack: 2. It's the latest in feline firepower: a kitty cannon. Check out the visors they're sporting. Classy!",Card Shop; Catch Card/SP,★,15
129,BigMeow,These robotic cat servants are loyal to their master. They're not designed for battle. But they aren't going to complain about it!,Card Shop; Catch Card/SP; Flimm,★★,60
130,Meowmaid,No chore is a bore to this robotic housecleaner! She loves her master with endless devotion. ...Because he programmed her that way.,Card Shop,★,15
131,SecuriMeow,No chore is a bore to this robotic housecleaner! This Meowmaid model can make advanced decisions.,Card Shop; Flimm,★★,50
132,Jellien,"Max HP: 4, Attack: 2. Jelliens drift around the lonely ocean of space. Maybe they've discovered the best way to get around? Intergalactic jiggling: the newest form of space travel.",Card Shop; Catch Card/SP,★,2
133,Foton,"Max HP: 8, Attack: 2. Fotons fire super-fast, superheated particles. Of course, they're big crowd-pleasers at parties.",Card Shop; Catch Card/SP; Chapter 4-1: Found in 3D behind an asteroid near the Jelliens.,★,2
134,Warpid,"Max HP: 10, Attack: 2. This space case warps around here and there. It won't bother you. Just let it do its thing.",Card Shop; Catch Card/SP,★,2
135,Eeligon,"Max HP: 10, Attack: 2. Eeligons slither through the murky bits of the cosmos. Hit them and they'll shrink faster than their egos.",Card Shop; Catch Card/SP,★,2
136,Hooligon,"Max HP: 10, Attack: 2. Hooligons love to wreak havoc in the depths of space. They blend into their habitat, waiting to attack.",Card Shop; Catch Card/SP; Map 26,★,2
137,Dark Eeligon,"Max HP: 30, Attack: 4. This Dark Eeligon flies around in a certain secret pit. So...this one's dark, but it's pretty much the same.",Card Shop; Catch Card/SP,★,3
138,Longator,"Max HP: 12, Attack: 1. Longators get in your face. They have no respect for your personal space-bubble.",Card Shop; Catch Card/SP,★,1
139,Longadile,"Max HP: 20, Attack: 2. Super-elastic Longadiles stretch out to slap you. It'd chap its hands on your face...if it had hands.",Card Shop; Catch Card/SP,★,1
140,Dark Longator,"Max HP: 30, Attack: 4. This Dark Longator nests in a certain secret pit. It's just...weird.",Card Shop; Catch Card/SP,★,1
141,Barribad,"Max HP: 4, Attack: 2. A round enemy that wraps itself in a force field. Round face, square shield... Triangle brain?",Card Shop; Catch Card/SP,★,2
142,Sobarribad,"Max HP: 8, Attack: 4. A round enemy that wraps itself in a force field. Flip through dimensions to shred it like paper!",Card Shop; Catch Card/SP,★,2
143,Dark Barribad,"Max HP: 12, Attack: 8. The Dark Barribad roams around in a certain secret pit. It looks eerily similar to a flying bowling ball.",Card Shop; Catch Card/SP,★,6
144,Pigarithm,"Max HP: ??, Attack: 2. Takes three stomps to beat. Stomp the piggy back to get the golden goodness inside! Each time you stomp, the pig will get a little smaller.",Card Shop; Catch Card/SP,★,2
145,Hogarithm,"Max HP: ??, Attack: 4. Takes three stomps to beat. Hop on this hog and ride it all the way to the bank! Soooooooie!",Card Shop; Catch Card/SP,★,2
146,Dark Pigarithm,"Max HP: ??, Attack: 6. Takes three stomps to beat. This Dark Pigarithm wallows around in a certain secret pit. It may look weird, but it drops coins! Cha-ching!",Card Shop; Catch Card/SP,★,3
147,Choppa,"Max HP: 5, Attack: 1. Check out this aerial alien's sweet midair tricks. It can appear and disappear in a flash. Not even fair.",Card Shop; Catch Card/SP,★,2
148,Copta,"Max HP: 10, Attack: 3. This aerial alien has even sweeter midair maneuvers. You'll get dizzy just watching this thing.",Card Shop; Catch Card/SP,★,2
149,Dark Choppa,"Max HP: 15, Attack: 5. This Dark Choppa dwells in a certain secret pit. It's all shadowy now, but still very, very nervous...",Card Shop; Catch Card/SP,★,2
150,Muth,"Max HP: 100, Attack: 5. Fear the woolly foot of the mighty Muth! It'll trample you just for looking at it wrong.",Card Shop; Catch Card/SP; Map 30,★★,60
151,Mega Muth,"Max HP: 200, Attack: 8. This hairy Muth is even grumpier than its herd mates. Probably not the best choice for a petting zoo.",Card Shop; Catch Card/SP,★,30
152,Dark Muth,"Max HP: 255, Attack: 10. Dark Muths stomp around in a certain secret pit. Even in the dark, they still go with the herd. Fascinating.",Card Shop; Catch Card/SP,★,2
153,Floro Sapien,"Max HP: 12, Attack: 3. Floro Sapiens serve their floral lord, King Croacus. Watch your head because they'll throw theirs at you!",Card Shop; Catch Card/SP,★,2
154,Floro Cragnien,"Max HP: 10, Attack: 1. This poor Cragnon has been zombified by King Croacus. Don't beat on it, or you'll lose some serious points.",Card Shop; Catch Card/SP; Chapter 5-4: Found at the far left of room with the caged Floro Cragniens.,★★,40
155,Ninjoe,"Max HP: 6, Attack: 2. Only the wind whispers the name of Ninjoe. Give him enough money, and he'll be your ninja minion.",Card Shop; Catch Card/SP,★,6
